"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","Create course","LMS service","Sat Dec 13 11:00:08 UTC 2025","passed","Sat Dec 13 11:00:08 UTC 2025","Create entity","Courses","",""
"","562","Create user","LMS service","Sat Dec 13 11:00:15 UTC 2025","passed","Sat Dec 13 11:00:16 UTC 2025","Create entity","Users","",""
"","262","Get file with incorrect file id","LMS service","Sat Dec 13 11:00:15 UTC 2025","passed","Sat Dec 13 11:00:15 UTC 2025","Validate entity","Files","",""
"","562","Create user","LMS service","Sat Dec 13 11:00:15 UTC 2025","passed","Sat Dec 13 11:00:16 UTC 2025","Create entity","Users","",""
"","17","Delete exercise","LMS service","Sat Dec 13 11:00:11 UTC 2025","passed","Sat Dec 13 11:00:11 UTC 2025","Delete entity","Exercises","",""
"","294","Delete file","LMS service","Sat Dec 13 11:00:14 UTC 2025","passed","Sat Dec 13 11:00:15 UTC 2025","Delete entity","Files","",""
"","263","Create file with empty directory","LMS service","Sat Dec 13 11:00:14 UTC 2025","passed","Sat Dec 13 11:00:14 UTC 2025","Validate entity","Files","",""
"","13","Get user me","LMS service","Sat Dec 13 11:00:16 UTC 2025","passed","Sat Dec 13 11:00:16 UTC 2025","Get entity","Users","",""
"","28","Create file","LMS service","Sat Dec 13 11:00:12 UTC 2025","passed","Sat Dec 13 11:00:12 UTC 2025","Create entity","Files","",""
"","555","Login with correct email and password","LMS service","Sat Dec 13 11:00:07 UTC 2025","passed","Sat Dec 13 11:00:07 UTC 2025","Login","Authentication","",""
"","275","Create exercise","LMS service","Sat Dec 13 11:00:09 UTC 2025","passed","Sat Dec 13 11:00:10 UTC 2025","Create entity","Exercises","",""
"","288","Get multiple exercises","LMS service","Sat Dec 13 11:00:12 UTC 2025","passed","Sat Dec 13 11:00:12 UTC 2025","Get entities","Exercises","",""
"","13","Get file","LMS service","Sat Dec 13 11:00:13 UTC 2025","passed","Sat Dec 13 11:00:13 UTC 2025","Get entity","Files","",""
"","536","Create user","LMS service","Sat Dec 13 11:00:15 UTC 2025","passed","Sat Dec 13 11:00:15 UTC 2025","Create entity","Users","",""
"","283","Get exercise","LMS service","Sat Dec 13 11:00:11 UTC 2025","passed","Sat Dec 13 11:00:11 UTC 2025","Get entity","Exercises","",""
"","29","Get multiple courses","LMS service","Sat Dec 13 11:00:07 UTC 2025","passed","Sat Dec 13 11:00:07 UTC 2025","Get entities","Courses","",""
"","23","Create file with empty filename","LMS service","Sat Dec 13 11:00:13 UTC 2025","passed","Sat Dec 13 11:00:13 UTC 2025","Validate entity","Files","",""
"","32","Update course","LMS service","Sat Dec 13 11:00:08 UTC 2025","passed","Sat Dec 13 11:00:08 UTC 2025","Update entity","Courses","",""
"","20","Update exercise","LMS service","Sat Dec 13 11:00:10 UTC 2025","passed","Sat Dec 13 11:00:10 UTC 2025","Update entity","Exercises","",""
